,symbol,base_asset,coingecko_id,market_cap_usd,volume_usd,price,price_change_pct,high_24h,low_24h
1,BTC/USDT,BTC,bitcoin,"$1,826,761,461,475.00","$7,089,462,445.21","$91,987.08000000",4.84%,"$93,265.64000000","$86,127.99000000"
2,DOGE/USDT,DOGE,dogecoin,"$60,657,271,374.00","$4,877,535,492.02",$0.41247000,8.54%,$0.43410000,$0.35121000
3,PEPE/USDT,PEPE,pepe,"$8,052,673,785.00","$2,772,328,636.37",$0.00001930,48.35%,$0.00001999,$0.00001249
4,ETH/USDT,ETH,ethereum,"$397,636,666,655.00","$2,739,840,814.86","$3,269.19000000",0.07%,"$3,331.00000000","$3,116.69000000"
5,PNUT/USDT,PNUT,peanut-the-squirrel,"$1,773,853,982.00","$2,384,652,111.24",$1.73840000,266.75%,$1.85980000,$0.41440000
6,USDC/USDT,USDC,usd-coin,"$36,556,196,138.00","$2,182,411,677.14",$0.99850000,-0.03%,$0.99920000,$0.99730000
7,SOL/USDT,SOL,solana,"$103,514,450,508.00","$2,015,933,687.43",$216.43000000,2.09%,$220.44000000,$200.67000000
8,FDUSD/USDT,FDUSD,first-digital-usd,"$2,318,969,438.00","$1,117,291,953.81",$0.99790000,-0.07%,$0.99900000,$0.99700000
9,XRP/USDT,XRP,ripple,"$41,361,333,838.00","$983,059,704.19",$0.72330000,4.46%,$0.74800000,$0.64000000
10,ACT/USDT,ACT,act-i-the-ai-prophecy,"$554,799,121.00","$914,805,075.23",$0.58020000,0.15%,$0.73480000,$0.51830000
11,SHIB/USDT,SHIB,shiba-inu,"$15,611,283,368.00","$774,859,722.51",$0.00002658,2.39%,$0.00002798,$0.00002333
12,WIF/USDT,WIF,dogwifcoin,"$3,628,021,954.00","$611,238,046.29",$3.60800000,22.47%,$3.84800000,$2.86900000
13,BNB/USDT,BNB,binancecoin,"$92,265,901,581.00","$593,617,470.38",$628.27000000,0.02%,$638.06000000,$598.60000000
14,BONK/USDT,BONK,bonk,"$2,669,580,661.00","$576,005,433.17",$0.00003899,26.80%,$0.00004200,$0.00003025
15,SUI/USDT,SUI,sui,"$9,540,905,789.00","$571,968,119.52",$3.33440000,6.32%,$3.44240000,$2.85000000
16,NEIRO/USDT,NEIRO,neiro-3,"$1,054,777,752.00","$570,333,411.89",$0.00247149,-6.34%,$0.00287742,$0.00225350
17,FLOKI/USDT,FLOKI,floki,"$2,193,533,994.00","$345,528,560.10",$0.00022833,17.91%,$0.00023080,$0.00018416
18,ADA/USDT,ADA,cardano,"$21,122,248,432.00","$316,186,234.55",$0.58620000,1.21%,$0.60980000,$0.51920000
19,BOME/USDT,BOME,book-of-meme,"$740,082,850.00","$311,447,241.59",$0.01069400,18.82%,$0.01136000,$0.00859400
