,coingecko_id,symbol,base_asset,market_cap_usd,volume_usd,price,price_change_pct,high_24h,low_24h,source
1,bitcoin,BTC/USDT,BTC,"$1,826,761,461,475.00","$7,571,343,205.00","$91,987.08000000",4.84%,"$93,265.64000000","$86,127.99000000","binance,kucoin"
2,dogecoin,DOGE/USDT,DOGE,"$60,657,271,374.00","$5,060,246,564.49",$0.41247000,8.54%,$0.43410000,$0.35121000,"binance,kucoin"
3,ethereum,ETH/USDT,ETH,"$397,636,666,655.00","$3,011,487,110.68","$3,269.19000000",0.07%,"$3,331.00000000","$3,116.69000000","binance,kucoin"
4,pepe,PEPE/USDT,PEPE,"$8,052,673,785.00","$2,934,958,925.67",$0.00001930,48.35%,$0.00001999,$0.00001249,"binance,kucoin"
5,peanut-the-squirrel,PNUT/USDT,PNUT,"$1,773,853,982.00","$2,410,743,002.62",$1.73840000,266.75%,$1.85980000,$0.41440000,"binance,kucoin"
6,usd-coin,USDC/USDT,USDC,"$36,556,196,138.00","$2,195,479,512.96",$0.99850000,-0.03%,$0.99920000,$0.99730000,"binance,kucoin"
7,solana,SOL/USDT,SOL,"$103,514,450,508.00","$2,136,608,415.94",$216.43000000,2.09%,$220.44000000,$200.67000000,"binance,kucoin"
8,first-digital-usd,FDUSD/USDT,FDUSD,"$2,318,969,438.00","$1,117,291,953.81",$0.99790000,-0.07%,$0.99900000,$0.99700000,binance
9,ripple,XRP/USDT,XRP,"$41,361,333,838.00","$1,073,699,164.19",$0.72330000,4.46%,$0.74800000,$0.64000000,"binance,kucoin"
10,act-i-the-ai-prophecy,ACT/USDT,ACT,"$554,799,121.00","$914,805,075.23",$0.58020000,0.15%,$0.73480000,$0.51830000,binance
11,shiba-inu,SHIB/USDT,SHIB,"$15,611,283,368.00","$876,425,227.58",$0.00002658,2.39%,$0.00002798,$0.00002333,"binance,kucoin"
12,dogwifcoin,WIF/USDT,WIF,"$3,628,021,954.00","$674,362,781.91",$3.60800000,22.47%,$3.84800000,$2.86900000,"binance,kucoin"
13,sui,SUI/USDT,SUI,"$9,540,905,789.00","$633,651,315.44",$3.33440000,6.32%,$3.44240000,$2.85000000,"binance,kucoin"
14,bonk,BONK/USDT,BONK,"$2,669,580,661.00","$603,231,048.20",$0.00003899,26.80%,$0.00004200,$0.00003025,"binance,kucoin"
15,binancecoin,BNB/USDT,BNB,"$92,265,901,581.00","$598,671,668.04",$628.27000000,0.02%,$638.06000000,$598.60000000,"binance,kucoin"
16,neiro-3,NEIRO/USDT,NEIRO,"$1,054,777,752.00","$570,333,411.89",$0.00247149,-6.34%,$0.00287742,$0.00225350,binance
17,floki,FLOKI/USDT,FLOKI,"$2,193,533,994.00","$361,217,919.77",$0.00022833,17.91%,$0.00023080,$0.00018416,"binance,kucoin"
18,cardano,ADA/USDT,ADA,"$21,122,248,432.00","$338,719,634.57",$0.58620000,1.21%,$0.60980000,$0.51920000,"binance,kucoin"
19,book-of-meme,BOME/USDT,BOME,"$740,082,850.00","$316,947,125.93",$0.01069400,18.82%,$0.01136000,$0.00859400,"binance,kucoin"
