,symbol,base_asset,coingecko_id,market_cap_usd,volume_usd,price,price_change_pct,high_24h,low_24h
1,BTC/USDT,BTC,bitcoin,"$1,826,761,461,475.00","$481,880,759.79","$92,100.30000000",4.96%,"$93,242.10000000","$86,129.90000000"
2,ETH/USDT,ETH,ethereum,"$397,636,666,655.00","$271,646,295.82","$3,272.45000000",0.17%,"$3,330.51000000","$3,117.00000000"
3,DOGE/USDT,DOGE,dogecoin,"$60,657,271,374.00","$182,711,072.47",$0.41446000,9.12%,$0.43369000,$0.35141000
4,PEPE/USDT,PEPE,pepe,"$8,052,673,785.00","$162,630,289.30",$0.00001932,48.38%,$0.00001997,$0.00001249
5,SOL/USDT,SOL,solana,"$103,514,450,508.00","$120,674,728.51",$217.11600000,2.42%,$220.41900000,$200.76300000
6,SHIB/USDT,SHIB,shiba-inu,"$15,611,283,368.00","$101,565,505.07",$0.00002666,2.72%,$0.00002799,$0.00002333
7,XRP/USDT,XRP,ripple,"$41,361,333,838.00","$90,639,460.00",$0.72261000,4.33%,$0.74793000,$0.64000000
8,WIF/USDT,WIF,dogwifcoin,"$3,628,021,954.00","$63,124,735.62",$3.62680000,23.12%,$3.84960000,$2.86900000
9,SUI/USDT,SUI,sui,"$9,540,905,789.00","$61,683,195.92",$3.33600000,6.34%,$3.44000000,$2.85000000
10,X/USDT,X,N/A,N/A,"$36,126,224.60",$0.00031186,-2.57%,$0.00036999,$0.00021000
11,BONK/USDT,BONK,bonk,"$2,669,580,661.00","$27,225,615.03",$0.00003930,27.84%,$0.00004200,$0.00003019
12,PNUT/USDT,PNUT,peanut-the-squirrel,"$1,773,853,982.00","$26,090,891.38",$1.73300000,266.15%,$1.86150000,$0.41540000
13,HIPPO/USDT,HIPPO,N/A,N/A,"$22,647,484.83",$0.02180700,65.60%,$0.02821400,$0.01050800
14,ADA/USDT,ADA,cardano,"$21,122,248,432.00","$22,533,400.02",$0.58810000,1.50%,$0.60980000,$0.51920000
15,FET/USDT,FET,fetch-ai,"$3,376,902,577.00","$21,900,958.01",$1.27740000,-8.60%,$1.41370000,$1.23000000
16,FTM/USDT,FTM,fantom,"$2,094,383,885.00","$18,090,235.55",$0.74352000,-0.37%,$0.78348000,$0.68033000
17,FLOKI/USDT,FLOKI,floki,"$2,193,533,994.00","$15,689,359.67",$0.00022950,18.48%,$0.00023080,$0.00018410
18,PEAQ/USDT,PEAQ,N/A,N/A,"$15,009,319.87",$0.35760000,-19.56%,$0.47000000,$0.28300000
19,TAO/USDT,TAO,bittensor,"$4,102,226,197.00","$14,552,298.06",$553.38000000,0.77%,$582.51000000,$521.95000000
20,APT/USDT,APT,aptos,"$6,547,622,079.00","$14,072,346.76",$12.32730000,-1.15%,$12.98920000,$11.21010000
21,TRX/USDT,TRX,tron,"$15,611,178,743.00","$13,817,420.50",$0.18000000,-1.15%,$0.19220000,$0.17350000
22,SEI/USDT,SEI,sei-network,"$1,910,049,296.00","$13,425,986.45",$0.47210000,1.54%,$0.49560000,$0.42990000
23,XMR/USDT,XMR,monero,"$2,774,919,493.00","$13,278,906.10",$150.00000000,-2.36%,$155.13000000,$145.12000000
24,USDC/USDT,USDC,usd-coin,"$36,556,196,138.00","$13,067,835.82",$0.99830000,-0.04%,$0.99930000,$0.99710000
25,HBAR/USDT,HBAR,hedera-hashgraph,"$2,272,983,154.00","$12,360,232.62",$0.06050000,1.98%,$0.07629000,$0.05642000
26,ENA/USDT,ENA,ethena,"$1,702,792,273.00","$12,229,215.80",$0.60020000,0.03%,$0.64980000,$0.52100000
27,MOODENG/USDT,MOODENG,moo-deng,"$347,052,842.00","$12,163,414.73",$0.34610000,5.13%,$0.42770000,$0.27790000
28,ONDO/USDT,ONDO,ondo-finance,"$1,337,507,521.00","$12,013,916.77",$0.93370000,6.26%,$0.95000000,$0.79132000
29,NEAR/USDT,NEAR,near,"$6,617,947,923.00","$11,957,868.70",$5.37070000,4.52%,$5.54850000,$4.96400000
30,DEGEN/USDT,DEGEN,degen-base,"$317,312,166.00","$11,523,494.25",$0.01811000,-5.92%,$0.02182000,$0.01653000
31,AVAX/USDT,AVAX,avalanche-2,"$14,043,348,586.00","$10,503,671.16",$34.30300000,0.49%,$35.11600000,$31.20600000
32,ACTSOL/USDT,ACTSOL,N/A,N/A,"$9,732,218.50",$0.58012000,0.03%,$0.73390000,$0.52000000
33,TIA/USDT,TIA,celestia,"$2,159,980,026.00","$9,327,812.37",$5.17400000,-0.76%,$5.70610000,$4.93780000
34,TON/USDT,TON,the-open-network,"$13,613,141,113.00","$9,224,738.75",$5.34560000,0.09%,$5.56400000,$5.14910000
35,NEIROCTO/USDT,NEIROCTO,N/A,N/A,"$8,822,599.76",$0.00248010,-6.02%,$0.00287550,$0.00225210
36,BRETT/USDT,BRETT,based-brett,"$1,265,611,883.00","$8,124,543.70",$0.12692000,5.59%,$0.13201000,$0.10473000
37,KAS/USDT,KAS,kaspa,"$3,288,496,677.00","$8,114,610.83",$0.13032000,-5.41%,$0.14304000,$0.12882000
38,DOT/USDT,DOT,polkadot,"$7,657,912,572.00","$7,615,894.99",$5.27420000,-1.27%,$5.42990000,$4.90850000
39,RUNE/USDT,RUNE,thorchain,"$2,004,614,870.00","$6,935,520.24",$5.85350000,0.53%,$6.07010000,$5.45040000
40,CRO/USDT,CRO,crypto-com-chain,"$4,847,156,854.00","$6,599,101.90",$0.18133000,-0.04%,$0.19883000,$0.15543000
41,AAVE/USDT,AAVE,aave,"$2,720,518,065.00","$6,417,787.31",$180.17000000,0.08%,$187.77300000,$168.05600000
42,SUNDOG/USDT,SUNDOG,N/A,N/A,"$6,054,474.39",$0.19275000,10.18%,$0.21114000,$0.15382000
43,MYRO/USDT,MYRO,N/A,N/A,"$5,964,402.42",$0.14063000,36.61%,$0.14205000,$0.09800000
44,GOAT/USDT,GOAT,goatseus-maximus,"$858,305,655.00","$5,866,794.83",$0.85460000,-9.69%,$0.98320000,$0.80000000
45,ICP/USDT,ICP,internet-computer,"$4,169,131,960.00","$5,644,568.27",$8.76300000,-0.26%,$9.05000000,$8.06100000
46,AIOZ/USDT,AIOZ,aioz-network,"$888,629,040.00","$5,625,295.32",$0.78978000,5.86%,$0.84469000,$0.63856000
47,BOME/USDT,BOME,book-of-meme,"$740,082,850.00","$5,499,884.34",$0.01074300,19.39%,$0.01134300,$0.00859700
48,WLD/USDT,WLD,worldcoin-wld,"$1,512,127,118.00","$5,444,096.12",$2.36830000,-2.35%,$2.54050000,$2.12590000
49,RAY/USDT,RAY,raydium,"$1,340,365,940.00","$5,387,443.47",$4.99250000,6.25%,$5.13000000,$4.02820000
